Id,Country,City,Latitude,Longitude,Population,IdProche,NCTNumber,Disease,Condition,Intervention,Phases,Enrollment,PrincipalInvestigationLocation
723,australia,sydney,-33.861481,151.205475,4394585,723,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
724,australia,new lambton,-32.933333,151.716667,9236,0,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
725,australia,randwick,-33.916667,151.241667,27740,723,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
726,australia,westmead,-33.816667,150.983333,14171,723,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
727,australia,brisbane,-27.47101,153.024292,1843459,727,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
728,australia,gold coast,-28.00029,153.430878,501175,728,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
729,australia,bedford park,-35.033333,138.566667,1837,730,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
730,australia,adelaide,-34.928661,138.598633,1074168,730,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
731,australia,box hill,-37.816667,145.133333,1173,200,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
732,australia,clayton,-37.916667,145.116667,15543,200,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
733,australia,geelong,-38.153461,144.358093,150438,200,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
734,australia,heidelberg,-37.75,145.066667,5714,200,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
735,australia,melbourne,-37.813938,144.963425,3730212,735,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
736,australia,melbourne,-37.813938,144.963425,3730212,736,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
737,australia,nedlands,-31.983333,115.808333,10184,0,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
738,canada,victoria,48.433333,-123.35,289625,869,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
739,canada,halifax,44.65,-63.6,266012,0,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
740,canada,sydney,46.15,-60.166667,32660,0,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
741,canada,cambridge,43.383333,-80.316667,126748,1220,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
742,canada,london,42.983333,-81.25,346774,0,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
743,canada,milton,43.516667,-79.883333,23472,1900,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
744,canada,scarborough,43.75,-79.2,625698,744,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
745,canada,thunder bay,48.4,-89.233333,99336,0,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
746,canada,gatineau,45.483333,-75.65,265349,165,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
747,canada,montreal,45.5,-73.583333,3268513,747,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
748,canada,regina,50.45,-104.616667,176182,0,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
749,czech republic,brno,49.2,16.633333,377407,0,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
750,czech republic,hradec kralove,50.207744,15.829455,97427,0,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
751,czech republic,jihlava,49.4,15.583333,50818,0,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
752,czech republic,olomouc,49.59404,17.25119,102792,0,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
753,czech republic,pardubice,50.027778,15.775833,90853,0,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
754,czech republic,prague,50.083333,14.466667,1154508,754,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
755,czech republic,teplice,50.646569,13.840138,50972,219,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
756,denmark,aarhus,56.153423,10.22553,264716,0,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
757,denmark,glostrup,55.666597,12.403768,22357,37,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
758,denmark,odense,55.393475,10.394935,145931,0,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
759,denmark,sonderborg,54.910634,9.792843,27033,0,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
760,germany,freiburg,48,7.85,213920,0,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
761,germany,heidelberg,49.416667,8.7,144703,33,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
762,germany,heidenheim,48.683333,10.15,50684,0,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
763,germany,ladenburg,49.475,8.606944,11621,33,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
764,germany,mannheim,49.488333,8.464722,309626,33,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
765,germany,ravensburg,47.783333,9.616667,48441,0,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
766,germany,singen,47.766667,8.833333,46386,0,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
767,germany,sinsheim,49.255278,8.877222,35740,768,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
768,germany,stuttgart,48.766667,9.183333,591688,768,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
769,germany,stuttgart,48.766667,9.183333,591688,769,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
770,germany,ulm,48.4,10,120745,768,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
771,germany,bogen,48.916667,12.683333,10458,0,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
772,germany,erlangen,49.589722,11.003889,102781,777,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
773,germany,landshut,48.533333,12.15,61131,225,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
774,germany,munich,48.15,11.5833,1246133,774,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
775,germany,neuburg,49.346667,12.384444,8099,0,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
776,germany,neusass,48.4,10.833333,21433,225,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
777,germany,nurnberg,49.447778,11.068333,501072,777,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
778,germany,nurnberg,49.447778,11.068333,501072,778,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
779,germany,regensburg,49.015,12.095556,142292,0,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
780,germany,unterhaching,48.05,11.633333,20751,225,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
781,germany,wolfratshausen,47.916667,11.416667,17190,225,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
782,germany,wurzburg,49.787778,9.936111,134499,0,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
783,germany,butzbach,50.433333,8.683333,25804,33,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
784,germany,eltville,50.033333,8.116667,16858,33,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
785,germany,erbach,49.656111,8.996389,13501,33,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
786,germany,eschwege,51.183333,10.066667,21546,0,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
787,germany,frankfurt,50.116667,8.683333,648034,787,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
788,germany,frankfurt,50.116667,8.683333,648034,788,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
789,germany,frankfurt,50.116667,8.683333,648034,789,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
790,germany,gelnhausen,50.2,9.183333,21417,33,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
791,germany,gladenbach,50.766667,8.566667,12613,33,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
792,germany,kassel,51.316667,9.5,193117,0,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
793,germany,wiesbaden,50.083333,8.25,272337,33,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
794,germany,buchholz,53.416667,9.433333,37876,175,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
795,germany,gottingen,51.533333,9.933333,123570,1516,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
796,germany,oldenburg,53.166667,8.2,160347,1644,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
797,germany,aachen,50.770833,6.105278,251104,16,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
798,germany,aachen,50.770833,6.105278,251104,16,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
799,germany,honnef,50.633333,7.233333,25078,807,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
800,germany,bergisch gladbach,50.983333,7.133333,106611,807,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
801,germany,bielefeld,52.033333,8.533333,327198,0,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
802,germany,bochum,51.483333,7.216667,387061,17,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
803,germany,bonn,50.733333,7.1,314081,807,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
804,germany,dusseldorf,51.216667,6.766667,577139,804,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
805,germany,essen,51.45,7.016667,576914,805,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
806,germany,hagen,51.35,7.466667,199497,1655,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
807,germany,koln,50.933333,6.95,1046680,807,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
808,germany,koln,50.933333,6.95,1046680,808,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
809,germany,siegen,50.866667,8.033333,108228,1655,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
810,germany,willich,51.266667,6.55,52100,16,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
811,germany,wuppertal,51.266667,7.183333,363240,17,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
812,germany,kandel,49.089167,8.184167,8773,0,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
813,germany,katzenelnbogen,50.283333,7.95,2161,33,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
814,germany,trier,49.75,6.633333,100649,0,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
815,germany,halle,51.5,12,232452,365,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
816,germany,magdeburg,52.166667,11.666667,224428,0,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
817,germany,chemnitz,50.833333,12.916667,246654,365,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
818,germany,goerlitz,51.166667,15,54193,0,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
819,germany,leipzig,51.3,12.333333,492637,819,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
820,germany,wermsdorf,51.283333,12.95,5296,365,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
821,germany,kiel,54.333333,10.133333,235264,175,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
822,germany,eisenach,50.983333,10.316667,44399,0,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
823,germany,jena,50.933333,11.583333,99269,365,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
824,germany,berlin,52.516667,13.4,3398362,824,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
825,germany,berlin,52.516667,13.4,3398362,825,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
826,germany,berlin,52.516667,13.4,3398362,826,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
827,germany,berlin,52.516667,13.4,3398362,827,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
828,germany,berlin,52.516667,13.4,3398362,828,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
829,germany,hamburg,53.55,10,1733846,829,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
830,hungary,budapest,47.5,19.083333,1708088,830,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
831,hungary,budapest,47.5,19.083333,1708088,831,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
832,hungary,eger,47.9,20.383333,56302,0,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
833,hungary,esztergom,47.7928,18.741476,28785,373,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
834,netherlands,amsterdam,52.35,4.916667,745811,834,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
835,netherlands,breda,51.566667,4.8,168934,241,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
836,netherlands,eindhoven,51.45,5.466667,210498,0,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
837,netherlands,leeuwarden,53.20139,5.808588,92494,0,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
838,netherlands,leiden,52.176281,4.528154,116928,241,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
839,netherlands,geleen,50.965741,5.834752,33960,0,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
840,netherlands,tilburg,51.576922,5.106331,206858,241,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
841,netherlands,venray,51.524517,5.975006,40518,16,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
842,norway,bodo,67.283333,14.383333,33811,0,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
843,norway,namsos,64.483333,11.5,8946,0,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
844,united states of america,guaynabo,18.3594444,-66.1113889,81363,845,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
845,united states of america,san juan,18.4683333,-66.1061111,418140,845,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
846,slovakia,banska bystrica,48.7333333,19.15,82336,0,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
847,slovakia,nitra,48.3166667,18.0833333,86329,0,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
848,slovakia,ruzomberok,49.0833333,19.3166667,30806,0,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
849,united kingdom,bristol,51.45,-2.583333,430714,849,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
850,united kingdom,portadown,54.433333,-6.45,21617,0,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
851,united kingdom,exeter,50.7,-3.533333,113119,1578,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
852,united kingdom,plymouth,50.396389,-4.138611,247298,1578,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
853,united kingdom,torquay,50.45,-3.5,65389,1578,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
854,united kingdom,salford,53.483333,-2.266667,70905,500,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
855,united kingdom,basingstoke,51.266667,-1.083333,96349,0,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
856,united kingdom,leicester,52.633333,-1.133333,339240,864,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
857,united kingdom,edinburgh,55.95,-3.2,435794,857,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
858,united kingdom,liverpool,53.416667,-3,468946,858,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
